Condition,ReadCode,CleansedReadCode,Term
Drug or alcohol misuse,Eu19100,Eu19100,[X]Mental and behav dis mlti drg/oth psychoa sbs: harmfl use
Drug or alcohol misuse,Eu19200,Eu19200,[X]Mental and behav dis mlti/oth psych sbs: dependence syndr
Drug or alcohol misuse,Eu19211,Eu19211,[X]Drug addiction NOS
Drug or alcohol misuse,Eu19300,Eu19300,[X]Mental and behav dis mlti/oth psychoa sbs: withdrwl state
Drug or alcohol misuse,Eu19400,Eu19400,[X]Mnt/bh dis mlti drg use/oth psy sbs: wthdr state + dlrium
Drug or alcohol misuse,Eu19500,Eu19500,[X]Ment/behav dis mlti drug use/oth psyc sbs: psychotc dis
Drug or alcohol misuse,Eu19600,Eu19600,[X]Mental/behav dis multi drg use/oth psy sbs: amnesic syndr
Drug or alcohol misuse,Eu19700,Eu19700,[X]Men/beh dis mlt drg use/oth subs: resid/late psychot dis
Drug or alcohol misuse,Eu19y00,Eu19y00,[X]Men/beh dis mlt drg use/oth psy sbs: oth men & behav dis
Drug or alcohol misuse,Eu19z00,Eu19z00,[X]Ment/beh dis multi drug use/oth psy sbs unsp mnt/beh dis
Drug or alcohol misuse,Eu1A.00,Eu1A.00,[X]Mental and behavioural disorders due use of crack cocaine
Drug or alcohol misuse,Eu1A100,Eu1A100,[X]Mental behav disorders due use crack cocaine: harmful use
Drug or alcohol misuse,Eu1A200,Eu1A200,[X]Mental behav disorders due use crack cocaine: depend synd
Drug or alcohol misuse,Eu1A300,Eu1A300,[X]Mental behav disord due crack cocaine: withdrawal state
Drug or alcohol misuse,Eu1A500,Eu1A500,[X]Mental behav disord due crack cocaine: psychotic disorder
Drug or alcohol misuse,Eu1Az00,Eu1Az00,[X]Ment behav dis due crack cocaine: unsp ment and behav dis
Drug or alcohol misuse,TJ51.00,TJ51.00,Adverse reaction to methadone
Drug or alcohol misuse,TJ52100,TJ52100,Adverse reaction to buprenorphine
Drug or alcohol misuse,U605012,U605012,[X] Adverse reaction to methadone
Drug or alcohol misuse,U605015,U605015,[X] Adverse reaction to buprenorphine
Drug or alcohol misuse,Z1Q6200,,Methadone maintenance
Drug or alcohol misuse,Z1Q6212,,Methadone therapy
Drug or alcohol misuse,Z1Q6214,,Heroin maintenance
Drug or alcohol misuse,Z416.00,,Substance abuse counselling
Drug or alcohol misuse,ZV6D700,ZV6D700,[V]Drug abuse counselling and surveillance
