Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311801000006113,115244002,202936014,BBgT.00,BBgT.00,"[M]Malignant lymphoma, large cell, noncleaved, diffuse"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311881000006116,115244002,202936014,BBgV.00,BBgV.00,"[M]Malignant lymphoma, small cell, noncleaved, diffuse"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311441000006112,414628006,2535396014,BBgz.00,BBgz.00,"[M]Lymphoma, diffuse or NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",315991000006111,189982000,291923012,BBh..00,BBh..00,[M]Reticulosarcomas
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",315951000006117,189982000,291923012,BBh0.00,BBh0.00,[M]Reticulosarcoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",315971000006110,189985003,291926016,BBh2.00,BBh2.00,"[M]Reticulosarcoma, nodular"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311461000006111,115245001,176001017,BBk..00,BBk..00,"[M]Lymphomas, nodular or follicular"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",403761014,115244002,202936014,BBk0.00,BBk0.00,"[M]Malignant lymphoma, nodular NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",306111000006112,115244002,202936014,BBk0.11,BBk0.11,[M]Brill - Symmers' disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",308801000006118,115244002,202936014,BBk0.12,BBk0.12,[M]Follicular lymphosarcoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",309181000006110,115244002,202936014,BBk0.13,BBk0.13,[M]Giant follicular lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291943018,115244002,202936014,BBk2.00,BBk2.00,"[M]Malignant lymphoma, centroblastic-centrocytic, follicular"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311621000006119,115244002,202936014,BBk3.00,BBk3.00,"[M]Malig lymphoma, lymphocytic, well differentiated,nodular"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311561000006112,115244002,202936014,BBk5.00,BBk5.00,"[M]Malig lymp, follicular centre cell, cleaved, follicular"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1229648010,40411000,1229648010,BBk7.00,BBk7.00,"[M]Malignant lymphoma, centroblastic type, follicular"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311591000006116,115244002,202936014,BBk8.00,BBk8.00,"[M]Malig lymp,follicular centre cell,noncleaved,follicular"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291953017,414628006,2535396014,BBkz.00,BBkz.00,"[M]Lymphoma, nodular or follicular NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",313301000006119,90120004,149378014,BBl..00,BBl..00,[M]Mycosis fungoides
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",313311000006116,90120004,149378014,BBl0.00,BBl0.00,[M]Mycosis fungoides
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1230735015,4950009,1230735015,BBl1.00,BBl1.00,[M]Sezary's disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291955012,90120004,149378014,BBlz.00,BBlz.00,[M]Mycosis fungoides NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291957016,21964009,36846011,BBm0.00,BBm0.00,[M]Microglioma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",215916010,128920006,207600016,BBm1.11,BBm1.11,[M]Malignant reticulosis
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291959018,414655002,2535406015,BBm5.00,BBm5.00,[M] Peripheral T-cell lymphoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1234836015,835009,1234836015,BBm8.00,BBm8.00,[M] Angioimmunoblastic lymphadenopathy
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",304151000006118,128803008,207315010,BBm9.00,BBm9.00,[M] Monocytoid B-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1225763012,28054005,1225763012,BBmD.00,BBmD.00,[M] Cutaneous lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1229774012,41556003,1229774012,BBmF.00,BBmF.00,[M] Angiocentric immunoproliferative lesion
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291963013,128929007,207612017,BBmH.00,BBmH.00,[M] Large cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",304071000006110,255102004,380165011,BBmJ.00,BBmJ.00,[M] Angioendotheliomatosis
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",292083014,128803008,207315010,BBv0.00,BBv0.00,[M]Monocytoid B-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1220814017,128805001,1220814017,BBv2.00,BBv2.00,[M]AngiocentricT-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",292170010,308121000,451429010,ByuD100,ByuD100,[X]Other types of follicular non-Hodgkin's lymphoma
