Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Ischaemic heart diseases,299765010,194828000,299757012,G33zz,G33zz00,Angina pectoris NOS
Ischaemic heart diseases,32122016,19057007,32122016,G33z0,G33z000,Status anginosus
Ischaemic heart diseases,271170015,232717009,348640013,792Dy,792Dy00,Other specified other bypass of coronary artery
Ischaemic heart diseases,2537483013,413844008,2537483013,G34y0,G34y000,Chronic coronary insufficiency
Ischaemic heart diseases,300886011,56265001,93561011,Gyu5,Gyu5.00,[X]Other forms of heart disease
Ischaemic heart diseases,1780444014,401250009,1780444014,9Ob3,9Ob3.00,Coronary heart disease monitoring 1st letter
Ischaemic heart diseases,268001000006119,185647009,285636017,9OB3,9OB3.00,OC check - 3rd call
Ischaemic heart diseases,1658331000000113,705024000,3015227013,8BPC,8BPC.00,On psychotropic medication
Ischaemic heart diseases,305121000000119,200861000000101,305121000000119,8BAc,8BAc.00,Substance misuse management stopped - self withdrawal
Ischaemic heart diseases,420056011,281897000,420056011,8BAC,8BAC.00,Helicobacter eradication therapy
Ischaemic heart diseases,2159923012,408359002,2159923012,8BIc,8BIc.00,Drug monitoring done
Ischaemic heart diseases,2533409013,1052871000000109,2649991000000115,8BCC,8BCC.00,Oral vitamin K prophylaxis given by health visitor
Ischaemic heart diseases,2339611000000110,910111000000106,2339611000000110,8BPc,8BPc.00,Mixed strength methotrexate prescribing warning
Ischaemic heart diseases,2155381000000118,829101000000101,2155381000000118,8BMc,8BMc.00,Needs assistance with medication regimen adherence
Ischaemic heart diseases,1596601000000114,698985001,2982117018,8BGC,8BGC.00,Long term dual antiplatelet drug therapy indicated
Ischaemic heart diseases,2548858016,416349001,2548858016,8BMC,8BMC.00,Prescription collected by pharmacy
Ischaemic heart diseases,1488739013,719329004,3316004018,8BIC,8BIC.00,Medication review done by pharmacist
Ischaemic heart diseases,300874013,194828000,299757012,Gyu30,Gyu3000,[X]Other forms of angina pectoris
Ischaemic heart diseases,406961000000113,248461000000107,406961000000113,9Ob9,9Ob9.00,Coronary heart disease monitoring telephone invite
Ischaemic heart diseases,732801000000119,372851000000101,732801000000119,44p2,44p2.00,Cardiac troponin positive
Ischaemic heart diseases,259228016,166829003,259228016,44P2,44P2.00,Serum cholesterol borderline
Ischaemic heart diseases,89731000006112,11101003,19234014,7928y,7928y00,Transluminal balloon angioplasty of coronary artery OS
Ischaemic heart diseases,494438016,46109009,494438016,G31y2,G31y200,Subendocardial ischaemia
Ischaemic heart diseases,161481000006112,3546002,6979016,7920y,7920y00,Saphenous vein graft replacement of coronary artery OS
Ischaemic heart diseases,299718016,57054005,94884017,G30y,G30y.00,Other acute myocardial infarction
Ischaemic heart diseases,458410010,314116003,458410010,G33z5,G33z500,Post infarct angina
Ischaemic heart diseases,2534674015,413844008,2534674015,G34y1,G34y100,Chronic myocardial ischaemia
Ischaemic heart diseases,338974012,225566008,338974012,G33z4,G33z400,Ischaemic chest pain
Ischaemic heart diseases,271079016,3546002,6979016,7920z,7920z00,Saphenous vein graft replacement coronary artery NOS
Ischaemic heart diseases,241791000006111,182891003,282733010,8B3K,8B3K.00,Patient misunderstood treatment instuctions
Ischaemic heart diseases,1488440011,394724007,1488440011,8B3k,8B3k.00,Coronary heart disease medication review
Ischaemic heart diseases,36036010,21470009,36036010,G33z2,G33z200,Syncope anginosa
Ischaemic heart diseases,459859010,315348000,459859010,G34z0,G34z000,Asymptomatic coronary heart disease
