Condition,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,OriginalReadCode,CleansedReadCode,Term
Other forms of heart disease,270933016.0,384642005,1478969019.0,79104,7910400,Mitral valvuloplasty NEC
Other forms of heart disease,465571000000117.0,384641003,1478968010.0,79104-1,7910411,Mitral valve repair NEC
Other forms of heart disease,270950019.0,112816004,188662011.0,79114,7911400,Aortic valvuloplasty NEC
Other forms of heart disease,2536641017.0,384643000,2536641017.0,7912-2,7912.12,Tricuspid valvuloplasty
Other forms of heart disease,270966017.0,384643000,1478970018.0,79125,7912500,Tricuspid valvuloplasty NEC
Other forms of heart disease,465521000000116.0,384643000,1478970018.0,79125-1,7912511,Tricuspid valve repair NEC
Other forms of heart disease,271010013.0,174967004,271010013.0,79160,7916000,Open mitral valvotomy
Other forms of heart disease,271011012.0,174968009,271011012.0,79161,7916100,Open aortic valvotomy
Other forms of heart disease,271012017.0,174969001,271012017.0,79162,7916200,Open tricuspid valvotomy
Other forms of heart disease,499818013.0,6433003,499818013.0,79170,7917000,Closed mitral valvotomy
Other forms of heart disease,1219795015.0,112814001,1219795015.0,79171,7917100,Closed aortic valvotomy
Other forms of heart disease,474766017.0,129243001,474766017.0,79172,7917200,Closed tricuspid valvotomy
Other forms of heart disease,271030012.0,174980001,271030012.0,79180,7918000,Annuloplasty of mitral valve
Other forms of heart disease,394285014.0,265480000,394285014.0,79181,7918100,Annuloplasty of tricuspid valve
Other forms of heart disease,348762015.0,232783002,348762015.0,79181-1,7918111,De Vega tricuspid annuloplasty
Other forms of heart disease,348798011.0,232808000,348798011.0,79184,7918400,Closure of tricuspid valve
Other forms of heart disease,271043012.0,174987003,271043012.0,79190,7919000,Percutaneous transluminal mitral valvotomy
Other forms of heart disease,271044018.0,174988008,271044018.0,79191,7919100,Percutaneous transluminal aortic valvotomy
Other forms of heart disease,271045017.0,174989000,271045017.0,79192,7919200,Percutaneous transluminal tricuspid valvotomy
Other forms of heart disease,348801017.0,232811004,348801017.0,791D0,791D000,Tricuspid valvectomy
Other forms of heart disease,219511000000113.0,11851006,444757013.0,G11,G11..00,Mitral valve diseases
Other forms of heart disease,1234383014.0,79619009,1234383014.0,G110,G110.00,Mitral stenosis
Other forms of heart disease,299593012.0,194726006,299593012.0,G112-2,G112.12,Mitral stenosis with incompetence
Other forms of heart disease,299592019.0,194726006,299592019.0,G112-3,G112.13,Mitral stenosis with regurgitation
Other forms of heart disease,159271000006119.0,251003004,374137013.0,G114,G114.00,Ruptured mitral valve cusp
Other forms of heart disease,299596016.0,11851006,444757013.0,G11z,G11z.00,Mitral valve disease NOS
Other forms of heart disease,299602018.0,194732001,299602018.0,G13,G13..00,Diseases of mitral and aortic valves
Other forms of heart disease,299603011.0,194733006,299603011.0,G130,G130.00,Mitral and aortic stenosis
Other forms of heart disease,299604017.0,194734000,299604017.0,G131,G131.00,Mitral stenosis and aortic insufficiency
Other forms of heart disease,299606015.0,194734000,299606015.0,G131-3,G131.13,Mitral stenosis and aortic incompetence
Other forms of heart disease,299605016.0,194734000,299605016.0,G131-4,G131.14,Mitral stenosis and aortic regurgitation
Other forms of heart disease,299609010.0,194735004,299609010.0,G132,G132.00,Mitral insufficiency and aortic stenosis
Other forms of heart disease,299607012.0,194735004,299607012.0,G132-2,G132.12,Mitral incompetence and aortic stenosis
Other forms of heart disease,299608019.0,194735004,299608019.0,G132-3,G132.13,Mitral regurgitation and aortic stenosis
Other forms of heart disease,299610017.0,194736003,299610017.0,G133,G133.00,Mitral and aortic incompetence
Other forms of heart disease,299611018.0,194736003,299611018.0,G133-1,G133.11,Mitral and aortic insufficiency
Other forms of heart disease,299612013.0,194736003,299612013.0,G133-2,G133.12,Mitral and aortic regurgitation
Other forms of heart disease,299613015.0,194732001,299602018.0,G13y,G13y.00,Multiple mitral and aortic valve involvement
Other forms of heart disease,299614014.0,194732001,299602018.0,G13z,G13z.00,Mitral and aortic valve disease NOS
Other forms of heart disease,299616011.0,20721001,1222524014.0,G140,G140.00,Tricuspid valve disease NEC
Chronic rheumatic heart diseases,87501000006118.0,67696008,1232959011.0,G1401-1,G140111,Tricuspid regurgitation - rheumatic
Chronic rheumatic heart diseases,1232958015.0,67696008,1232958015.0,G1401-2,G140112,Tricuspid incompetence - rheumatic
Chronic rheumatic heart diseases,299620010.0,194741006,299620010.0,G1402,G140200,Rheumatic tricuspid stenosis and insufficiency
Other forms of heart disease,299621014.0,49915006,83138015.0,G1403,G140300,"Tricuspid stenosis, cause unspecified"
Other forms of heart disease,299622019.0,111287006,178507019.0,G1404,G140400,"Tricuspid insufficiency, cause unspecified"
