,Condition,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,OriginalReadCode,Term,CleansedReadCode
150,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A47-5,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
151,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A47-1,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
152,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A142,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
153,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A140,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
154,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A409,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
155,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A40D,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
156,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A40B,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
157,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A40C,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
158,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A141,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
159,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A163,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
160,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A162,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
161,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A161,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
162,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A419,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
163,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A41A,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
164,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A41D,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
165,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A41B,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
166,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A150,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
167,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A414,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
168,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A415,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
169,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A416,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
170,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A47D,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
171,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,^ESCTAR427147,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
172,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,^ESCTCR427152,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
173,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,^ESCTCR427149,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
174,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,^ESCTCR427151,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
175,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,^ESCTCR427148,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
176,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A333,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
177,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A40y,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
178,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A164,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
179,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,^ESCTBY427150,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
180,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A16,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
181,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A332,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
182,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A41y,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
183,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A41z,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
