Condition,MedCode,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815321000006110,"Anaplastic large cell lymphoma, ALK-negative"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815331000006112,Cutaneous T-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2534467019,"Extranodal NK/T-cell lymphoma, nasal type"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2872841013,Hepatosplenic T-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",414298014,Enteropathy-associated T-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815391000006112,Subcutaneous panniculitic T-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815401000006114,Blastic NK-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2534468012,Angioimmunoblastic T-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815421000006116,Primary cutaneous CD30-positive T-cell proliferations
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815431000006118,Other mature T/NK-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815451000006112,Nonfollicular lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2168861000000116,Non-follicular lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815461000006110,Small cell B-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",123978016,Mantle cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2168691000000110,Lymphoblastic (diffuse) lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289820010,Malignant lymphoma otherwise specified
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",344657018,T-zone lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",344670010,Lymphoepithelioid lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2659756011,Peripheral T-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",445587010,Malignant reticulosis
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",39671000006114,Oth and unspecif peripheral & cutaneous T-cell lymphomas
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",728721000006111,Malignant lymphoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289830018,Malignant lymphoma NOS of unspecified site
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289831019,"Malignant lymphoma NOS of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289832014,Malignant lymphoma NOS of intrathoracic lymph nodes
